game_name,game_year,genre,GenerationCatergory
Final Fantasy,1987,Role-Playing,Milienum
Mega Man,1987,Platform,Milienum
Kung-Fu Master,1987,Action,Milienum
Commando,1987,Action,Milienum
Defender II,1987,Shooter,Milienum
Desert Falcon,1987,Shooter,Milienum
Super Football,1987,Sports,Milienum
Super Baseball,1987,Sports,Milienum
Super Mario Bros. 3,1988,Platform,Milienum
Super Mario Bros. 2,1988,Platform,Milienum
Tetris,1988,Puzzle,Milienum
Dragon Warrior III,1988,Role-Playing,Milienum
Ice Hockey,1988,Sports,Milienum
R.C. Pro-Am,1988,Racing,Milienum
Donkey Kong Classics,1988,Platform,Milienum
Mega Man 2,1988,Action,Milienum
Disney's DuckTales,1988,Platform,Milienum
Dragon Ball: Daimaou Fukkatsu,1988,Role-Playing,Milienum
Pro Yakyuu Family Stadium '88,1988,Sports,Milienum
Final Fantasy II,1988,Role-Playing,Milienum
River Raid II,1988,Shooter,Milienum
Rampage,1988,Action,Milienum
Tetris,1989,Puzzle,Milienum
Super Mario Land,1989,Platform,Milienum
Dr. Mario,1989,Puzzle,Milienum
Teenage Mutant Ninja Turtles,1989,Action,Milienum
Golf,1989,Sports,Milienum
Tennis,1989,Sports,Milienum
Alleyway,1989,Puzzle,Milienum
Disney's DuckTales,1989,Platform,Milienum
Baseball,1989,Sports,Milienum
Yakuman,1989,Misc,Milienum
SolarStriker,1989,Shooter,Milienum
The Final Fantasy Legend,1989,Role-Playing,Milienum
Famicom Jump: Eiyuu Retsuden,1989,Role-Playing,Milienum
Castlevania III: Dracula's Curse,1989,Platform,Milienum
Double Dragon,1989,Action,Milienum
Klax,1989,Puzzle,Milienum
Adventures of Lolo,1989,Puzzle,Milienum
Super Mario World,1990,Platform,Milienum
Dr. Mario,1990,Puzzle,Milienum
F-1 Race,1990,Racing,Milienum
Dragon Warrior IV,1990,Role-Playing,Milienum
F-Zero,1990,Racing,Milienum
Streets of Rage,1990,Action,Milienum
Teenage Mutant Ninja Turtles II: The Arcade Game,1990,Action,Milienum
Final Fight,1990,Action,Milienum
Nintendo World Cup,1990,Sports,Milienum
Final Fantasy III,1990,Role-Playing,Milienum
Disney's Chip 'n Dale: Rescue Rangers,1990,Platform,Milienum
Mega Man 3,1990,Platform,Milienum
Qix,1990,Puzzle,Milienum
Pilotwings,1990,Simulation,Milienum
Extra Bases,1990,Sports,Milienum
Famista '91,1990,Sports,Milienum
The Legend of Zelda: A Link to the Past,1991,Action,Milienum
Sonic the Hedgehog,1991,Platform,Milienum
SimCity,1991,Simulation,Milienum
Final Fantasy II,1991,Role-Playing,Milienum
Metroid II: Return of Samus,1991,Adventure,Milienum
Yoshi,1991,Puzzle,Milienum
Super Scope 6,1991,Shooter,Milienum
Teenage Mutant Ninja Turtles III: The Manhattan Project,1991,Action,Milienum
Super Ghouls 'n Ghosts,1991,Platform,Milienum
Super R.C. Pro-Am,1991,Racing,Milienum
NES Open Tournament Golf,1991,Sports,Milienum
Mega Man 4,1991,Platform,Milienum
Final Fantasy Legend III,1991,Role-Playing,Milienum
Yoshi,1991,Puzzle,Milienum
Super Castlevania IV,1991,Platform,Milienum
The Legend of the Mystical Ninja,1991,Adventure,Milienum
Bomberman II,1991,Puzzle,Milienum
Super Wagyan Land,1991,Action,Milienum
Super Fire ProWrestling,1991,Fighting,Milienum
Super Soccer,1991,Sports,Milienum
Final Fantasy Adventure,1991,Role-Playing,Milienum
Battle Dodge Ball,1991,Sports,Milienum
Kidou Senshi Gundam F91: Formula Senki 0122,1991,Strategy,Milienum
Tetris 2 + Bombliss,1991,Puzzle,Milienum
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,1991,Role-Playing,Milienum
Mega Man: Dr. Wily's Revenge,1991,Platform,Milienum
Famista '92,1991,Sports,Milienum
Mega Man II,1991,Platform,Milienum
Lord of Darkness,1991,Action,Milienum
Romance of the Three Kingdoms II,1991,Strategy,Milienum
Super R-Type,1991,Shooter,Milienum
Super Baseball Simulator 1.000,1991,Sports,Milienum
GameBoy Wars,1991,Strategy,Milienum
Battle Commander: Hachibushu Shura no Heihou,1991,Strategy,Milienum
SimEarth: The Living Planet,1991,Simulation,Milienum
World League Soccer,1991,Sports,Milienum
UN Squadron,1991,Shooter,Milienum
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,1991,Misc,Milienum
John Madden Football,1991,Sports,Milienum
Teenage Mutant Ninja Turtles II: Back from the Sewers,1991,Action,Milienum
Lagoon,1991,Role-Playing,Milienum
Super Mario Land 2: 6 Golden Coins,1992,Adventure,Milienum
Super Mario Kart,1992,Racing,Milienum
Street Fighter II: The World Warrior,1992,Fighting,Milienum
Sonic the Hedgehog 2,1992,Platform,Milienum
Kirby's Dream Land,1992,Platform,Milienum
Street Fighter II Turbo,1992,Fighting,Milienum
The Legend of Zelda: Link's Awakening,1992,Action,Milienum
Dragon Quest V: Tenkuu no Hanayome,1992,Role-Playing,Milienum
Mario Paint,1992,Misc,Milienum
Mortal Kombat,1992,Fighting,Milienum
Final Fantasy V,1992,Role-Playing,Milienum
Kirby's Pinball Land,1992,Misc,Milienum
NBA Jam,1992,Sports,Milienum
Yoshi's Cookie,1992,Puzzle,Milienum
Street Fighter II': Special Champion Edition,1992,Fighting,Milienum
Tetris 2 (All region sales),1992,Puzzle,Milienum
The Magical Quest starring Mickey Mouse,1992,Platform,Milienum
Yoshi's Cookie,1992,Puzzle,Milienum
Romancing SaGa,1992,Role-Playing,Milienum
Mega Man 5,1992,Platform,Milienum
Dragon Ball Z: Chou Saiya Densetsu,1992,Role-Playing,Milienum
Super Bomberman,1992,Puzzle,Milienum
Super Batter Up,1992,Sports,Milienum
Fatal Fury,1992,Fighting,Milienum
Romance of the Three Kingdoms III: Dragon of Destiny,1992,Strategy,Milienum
F1 ROC: Race of Champions,1992,Sports,Milienum
F-1 Grand Prix,1992,Racing,Milienum
Tetris 2 (weekly jp sales),1992,Puzzle,Milienum
Super Adventure Island,1992,Platform,Milienum
Otogirisou,1992,Adventure,Milienum
Battle Soccer: Field no Hasha,1992,Sports,Milienum
Contra III: The Alien Wars,1992,Shooter,Milienum
Gunstar Heroes,1992,Shooter,Milienum
Ecco the Dolphin,1992,Adventure,Milienum
Teenage Mutant Ninja Turtles: Tournament Fighters,1992,Fighting,Milienum
Dragon Slayer: The Legend of Heroes,1992,Role-Playing,Milienum
Teenage Mutant Ninja Turtles: Tournament Fighters,1992,Fighting,Milienum
Sonic the Hedgehog 2 (8-bit),1992,Platform,Milienum
Super Mario All-Stars,1993,Platform,Milienum
Star Fox,1993,Shooter,Milienum
Super Street Fighter II,1993,Fighting,Milienum
Mortal Kombat II,1993,Fighting,Milienum
Secret of Mana,1993,Role-Playing,Milienum
Disney's Aladdin,1993,Platform,Milienum
Kirby's Adventure,1993,Platform,Milienum
Super Puyo Puyo,1993,Puzzle,Milienum
Sonic CD,1993,Platform,Milienum
Dragon Ball Z,1993,Fighting,Milienum
Dragon Ball Z: La Legende Saien,1993,Fighting,Milienum
Romancing SaGa 2,1993,Role-Playing,Milienum
Mega Man X,1993,Platform,Milienum
Dragon Quest I & II,1993,Role-Playing,Milienum
Final Fight 2,1993,Action,Milienum
Tetris 2,1993,Puzzle,Milienum
Capcom's Soccer Shootout,1993,Sports,Milienum
Torneko no Daibouken: Fushigi no Dungeon,1993,Role-Playing,Milienum
Dragon Ball Z: Ultime Menace,1993,Fighting,Milienum
J-League Soccer: Prime Goal,1993,Sports,Milienum
Nobunaga no Yabou: Haouden,1993,Strategy,Milienum
Mega Man X2,1993,Platform,Milienum
Virtual Soccer,1993,Sports,Milienum
Winning Post,1993,Sports,Milienum
Mega Man 6,1993,Platform,Milienum
Mario & Wario,1993,Puzzle,Milienum
Crayon Shin-Chan: Arashi o Yobu Enji,1993,Platform,Milienum
Fatal Fury 2,1993,Fighting,Milienum
Yuu Yuu Hakusho,1993,Fighting,Milienum
Jurassic Park,1993,Action,Milienum
Stunt Race FX,1993,Racing,Milienum
Shin Momotarou Densetsu,1993,Role-Playing,Milienum
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,1993,Platform,Milienum
Bishoujo Senshi Sailormoon R,1993,Fighting,Milienum
Sailor Moon,1993,Action,Milienum
Jissen Pachi-Slot Hisshouhou,1993,Misc,Milienum
Shining Force II,1993,Strategy,Milienum
Thoroughbred Breeder,1993,Simulation,Milienum
Mega Man Soccer,1993,Sports,Milienum
Super Power League,1993,Sports,Milienum
Super Street Fighter II,1993,Fighting,Milienum
The King of Fighters '94 (CD),1993,Fighting,Milienum
Illusion of Gaia,1993,Role-Playing,Milienum
Harukanaru Augusta 2: Masters,1993,Sports,Milienum
Classic Road,1993,Sports,Milienum
Ranma 1/2: Akanekodan Teki Hihou,1993,Role-Playing,Milienum
Lethal Enforcers,1993,Shooter,Milienum
Ecco: The Tides of Time,1993,Adventure,Milienum
Street Fighter II': Special Champion Edition (JP weekly sales),1993,Action,Milienum
Samurai Shodown,1993,Fighting,Milienum
Ninja Warriors,1993,Action,Milienum
Streets of Rage 3,1993,Action,Milienum
Super Mahjong 2: Honkaku 4Jin Uchi,1993,Misc,Milienum
Pop'n TwinBee: Rainbow Bell Adventure,1993,Platform,Milienum
Doraemon 2: Nobita no Toizurando Daibouken,1993,Role-Playing,Milienum
Dynamite Headdy,1993,Platform,Milienum
Pachinko Wars II,1993,Misc,Milienum
Keiba Eight Special,1993,Sports,Milienum
Beyond Oasis,1993,Role-Playing,Milienum
Rock N' Roll Racing,1993,Racing,Milienum
Donkey Kong Country,1994,Platform,Milienum
Super Mario Land 3: Wario Land,1994,Platform,Milienum
Donkey Kong Land,1994,Platform,Milienum
Final Fantasy III,1994,Role-Playing,Milienum
Donkey Kong,1994,Platform,Milienum
Sonic & Knuckles,1994,Platform,Milienum
Disney's The Lion King,1994,Platform,Milienum
Sonic the Hedgehog 3,1994,Platform,Milienum
Mortal Kombat 3,1994,Fighting,Milienum
Super Metroid,1994,Action,Milienum
Disney's The Lion King,1994,Platform,Milienum
NBA Jam,1994,Sports,Milienum
Mortal Kombat 3,1994,Fighting,Milienum
Battle Arena Toshinden,1994,Fighting,Milienum
NBA Jam Tournament Edition,1994,Sports,Milienum
Virtua Fighter,1994,Fighting,Milienum
Super Momotarou Dentetsu III,1994,Simulation,Milienum
Derby Stallion II,1994,Sports,Milienum
Kamaitachi no Yoru,1994,Adventure,Milienum
Super Bomberman 2,1994,Puzzle,Milienum
EarthBound,1994,Role-Playing,Milienum
Ridge Racer,1994,Racing,Milienum
Doom,1994,Shooter,Milienum
Super Bomberman 3,1994,Puzzle,Milienum
Fire Emblem: Monsh? no Nazo,1994,Role-Playing,Milienum
Kirby's Dream Course,1994,Sports,Milienum
Theme Park,1994,Simulation,Milienum
Fatal Fury Special,1994,Fighting,Milienum
Daytona USA,1994,Racing,Milienum
Romance of the Three Kingdoms IV: Wall of Fire,1994,Strategy,Milienum
J-League Soccer: Prime Goal 2,1994,Sports,Milienum
Space Invaders,1994,Shooter,Milienum
NHL FaceOff,1994,Sports,Milienum
Wonder Project J: Kikai no Shonen Pino,1994,Simulation,Milienum
Jikkyou Powerful Pro Yakuu '94,1994,Sports,Milienum
Samurai Shodown,1994,Fighting,Milienum
Super Famista 3,1994,Sports,Milienum
ESPN Extreme Games,1994,Sports,Milienum
Kileak: The DNA Imperative,1994,Shooter,Milienum
Super Formation Soccer 94,1994,Sports,Milienum
Super Robot Taisen EX,1994,Strategy,Milienum
Shin Megami Tensei II,1994,Role-Playing,Milienum
Zero4 Champ RR,1994,Sports,Milienum
Super Fire ProWrestling Special,1994,Fighting,Milienum
Breath of Fire II,1994,Role-Playing,Milienum
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,1994,Platform,Milienum
Super Power League 2,1994,Sports,Milienum
Parodius,1994,Shooter,Milienum
Live A Live,1994,Role-Playing,Milienum
Yuu Yuu Hakusho 2: Kakutou no Sho,1994,Fighting,Milienum
Decathlete,1994,Sports,Milienum
Daikaijyuu Monogatari,1994,Role-Playing,Milienum
Itadaki Street 2: Neon Sign wa Bara Iro ni,1994,Misc,Milienum
International Superstar Soccer,1994,Sports,Milienum
SimCity 2000,1994,Simulation,Milienum
Slam Dunk: Yonkyo Taiketsu!!,1994,Sports,Milienum
Thoroughbred Breeder II,1994,Simulation,Milienum
Virtua Racing,1994,Racing,Milienum
Galactic Attack,1994,Shooter,Milienum
A. IV Evolution: A Ressha de Ikou 4,1994,Strategy,Milienum
Samurai Shodown II,1994,Fighting,Milienum
The King of Fighters '95 (CD),1994,Fighting,Milienum
Drift King Shutokou Battle '94,1994,Racing,Milienum
Samurai Spirits (CD),1994,Fighting,Milienum
Wing Arms,1994,Shooter,Milienum
ThunderStrike 2,1994,Simulation,Milienum
SD Gundam GX,1994,Strategy,Milienum
Gokujou Parodius,1994,Shooter,Milienum
F1 Challenge,1994,Racing,Milienum
Saturday Night Slam Masters,1994,Fighting,Milienum
"Lunar 2: Eternal Blue(sales, but wrong system)",1994,Role-Playing,Milienum
Shining Force CD,1994,Strategy,Milienum
The King of Fighters '94,1994,Fighting,Milienum
Slayers,1994,Role-Playing,Milienum
Battle Arena Toshinden Remix,1994,Fighting,Milienum
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,1994,Fighting,Milienum
Center Ring Boxing,1994,Fighting,Milienum
Primal Rage,1994,Fighting,Milienum
Jikkyou Powerful Pro Yakyuu '95,1994,Sports,Milienum
Final Fantasy I & II,1994,Role-Playing,Milienum
Jupiter Strike,1994,Shooter,Milienum
Crime Crackers,1994,Role-Playing,Milienum
Clockwork Knight,1994,Platform,Milienum
Theme Park,1994,Simulation,Milienum
King's Field (Japan),1994,Role-Playing,Milienum
Yuu Yuu Hakusho: Makyo Toitsusen,1994,Fighting,Milienum
Dragon Slayer: The Legend of Heroes,1994,Role-Playing,Milienum
Majin Tensei,1994,Role-Playing,Milienum
Gale Racer,1994,Racing,Milienum
Formula One World Championship: Beyond the Limit,1994,Racing,Milienum
Derby Jockey: Kishou e no Michi,1994,Sports,Milienum
Kenyuu Densetsu Yaiba,1994,Action,Milienum
Motor Toon Grand Prix (Japan),1994,Racing,Milienum
Discworld,1994,Adventure,Milienum
Robotica,1994,Shooter,Milienum
Worldwide Soccer,1994,Sports,Milienum
Record of Lodoss War: Eiyuu Sensou,1994,Role-Playing,Milienum
Myst,1994,Adventure,Milienum
Game no Kanzume Vol 2,1994,Misc,Milienum
Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,1994,Misc,Milienum
Golden Axe: The Duel,1994,Fighting,Milienum
Game no Kanzume Vol 1,1994,Misc,Milienum
World Series Baseball,1994,Sports,Milienum
Galaxy Fight,1994,Fighting,Milienum
J-League Pro Striker 2,1994,Sports,Milienum
Castlevania Bloodlines,1994,Platform,Milienum
First Queen: Ornic Senki,1994,Role-Playing,Milienum
Gaia Saver Hero Saidai no Sakusen,1994,Role-Playing,Milienum
Puzzle & Action: Tant-R,1994,Misc,Milienum
Kidou Senshi V Gundam,1994,Action,Milienum
The Great Battle Gaiden 2: Matsuri da Wasshoi,1994,Action,Milienum
Bust-A-Move,1994,Puzzle,Milienum
Sugoi Hebereke,1994,Fighting,Milienum
Pebble Beach Golf Links,1994,Sports,Milienum
World Class Rugby 2: Kokunai Gekitou Hen '93,1994,Sports,Milienum
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Milienum
Super Mario World 2: Yoshi's Island,1995,Platform,Milienum
Namco Museum Vol.1,1995,Misc,Milienum
Tekken,1995,Fighting,Milienum
Killer Instinct,1995,Fighting,Milienum
Dragon Quest VI: Maboroshi no Daichi,1995,Role-Playing,Milienum
Rayman,1995,Platform,Milienum
Kirby's Dream Land 2,1995,Platform,Milienum
Chrono Trigger,1995,Role-Playing,Milienum
Virtua Fighter 2,1995,Fighting,Milienum
Air Combat,1995,Simulation,Milienum
Twisted Metal,1995,Action,Milienum
Romancing SaGa 3,1995,Role-Playing,Milienum
Road Rash,1995,Racing,Milienum
Sega Rally Championship,1995,Racing,Milienum
Derby Stallion III,1995,Sports,Milienum
Arc the Lad,1995,Role-Playing,Milienum
Ridge Racer Revolution,1995,Racing,Milienum
NBA Jam Tournament Edition,1995,Sports,Milienum
Road & Track Presents: The Need for Speed,1995,Racing,Milienum
Destruction Derby,1995,Racing,Milienum
Seiken Densetsu 3,1995,Role-Playing,Milienum
Gex,1995,Platform,Milienum
NFL GameDay,1995,Sports,Milienum
Street Fighter Alpha: Warriors' Dreams,1995,Fighting,Milienum
Tactics Ogre: Let Us Cling Together,1995,Role-Playing,Milienum
Battle Arena Toshinden 2,1995,Fighting,Milienum
Virtua Cop,1995,Shooter,Milienum
Mario's Picross,1995,Puzzle,Milienum
Suikoden,1995,Role-Playing,Milienum
Front Mission,1995,Strategy,Milienum
Tokimeki Memorial: Forever with You,1995,Simulation,Milienum
Beyond The Beyond,1995,Role-Playing,Milienum
Mortal Kombat 3,1995,Fighting,Milienum
Bases Loaded '96: Double Header,1995,Sports,Milienum
SimCity 2000,1995,Simulation,Milienum
Super Puyo Puyo 2,1995,Puzzle,Milienum
WipEout,1995,Action,Milienum
Super Momotarou Dentetsu DX,1995,Misc,Milienum
Warhawk,1995,Simulation,Milienum
J-League Excite Stage '95,1995,Sports,Milienum
Persona,1995,Role-Playing,Milienum
Mobile Suit Gundam,1995,Action,Milienum
Super Famista 4,1995,Sports,Milienum
Cyber Troopers Virtual-On,1995,Fighting,Milienum
Mobile Suit Gundam,1995,Action,Milienum
Mario no Super Picross,1995,Puzzle,Milienum
Fighting Vipers,1995,Fighting,Milienum
Mystery Dungeon: Shiren the Wanderer,1995,Role-Playing,Milienum
Tales of Phantasia,1995,Role-Playing,Milienum
Shin Megami Tensei: Devil Summoner,1995,Role-Playing,Milienum
Dai-4-Ji Super Robot Taisen,1995,Strategy,Milienum
Panzer Dragoon,1995,Shooter,Milienum
Boxer's Road,1995,Fighting,Milienum
Mega Man X3,1995,Action,Milienum
Iron Storm,1995,Shooter,Milienum
Night Warriors: Darkstalkers' Revenge,1995,Fighting,Milienum
Shin Nippon Pro Wrestling: Toukon Retsuden,1995,Fighting,Milienum
Kirby's Block Ball,1995,Puzzle,Milienum
Extreme Pinball,1995,Misc,Milienum
Street Fighter Alpha 2,1995,Fighting,Milienum
NBA ShootOut,1995,Sports,Milienum
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,1995,Platform,Milienum
Panzer Dragoon II Zwei,1995,Shooter,Milienum
Gameboy Gallery,1995,Misc,Milienum
Jumping Flash!,1995,Platform,Milienum
Blazing Heroes,1995,Role-Playing,Milienum
Winning Post 2,1995,Sports,Milienum
Far East of Eden Zero,1995,Role-Playing,Milienum
Guardian Heroes,1995,Role-Playing,Milienum
Super Fire ProWrestling X,1995,Fighting,Milienum
The King of Fighters '95,1995,Fighting,Milienum
Mega Man 7,1995,Platform,Milienum
NBA In The Zone,1995,Sports,Milienum
Nichibutsu Arcade Classics,1995,Misc,Milienum
Jikkyou Powerful Pro Yakyuu 2,1995,Sports,Milienum
Final Doom,1995,Shooter,Milienum
Super Nazo Puyo: Ruruu no Ruu,1995,Puzzle,Milienum
NBA Jam Tournament Edition,1995,Sports,Milienum
Panzer General,1995,Strategy,Milienum
Namco Tennis Smash Court,1995,Sports,Milienum
PGA Tour 96,1995,Sports,Milienum
Virtua Fighter Kids,1995,Fighting,Milienum
The Raiden Project,1995,Shooter,Milienum
Kanzen Chuuki Pro Yakyuu Greatest Nine,1995,Sports,Milienum
Dragon Ball Z Hyper Dimension,1995,Fighting,Milienum
X-Men: Children of the Atom,1995,Fighting,Milienum
The King of Fighters '95,1995,Fighting,Milienum
SD Gundam GNext,1995,Strategy,Milienum
Bust-A-Move 2 Arcade Edition,1995,Puzzle,Milienum
GunGriffon,1995,Simulation,Milienum
College Slam,1995,Sports,Milienum
Super Real Mahjong P V,1995,Misc,Milienum
Street Fighter: The Movie,1995,Fighting,Milienum
Space Griffon VF-9,1995,Role-Playing,Milienum
Off-World Interceptor Extreme,1995,Racing,Milienum
Parodius,1995,Shooter,Milienum
King's Field,1995,Role-Playing,Milienum
International Superstar Soccer Deluxe,1995,Sports,Milienum
FIFA Soccer 96,1995,Sports,Milienum
StarBlade α,1995,Shooter,Milienum
J-League Victory Goal,1995,Sports,Milienum
Tetris Attack,1995,Puzzle,Milienum
Dragon Ball Z: Idainaru Dragon Ball Densetsu,1995,Fighting,Milienum
Wizardry VII: Gadeia no Houshu,1995,Role-Playing,Milienum
Epidemic,1995,Shooter,Milienum
Agile Warrior F-111X,1995,Simulation,Milienum
Doukyuusei,1995,Adventure,Milienum
Cyber Sled,1995,Action,Milienum
In the Hunt,1995,Shooter,Milienum
Daytona USA Championship Circuit Edition,1995,Racing,Milienum
Sentou Kokka Air Land Battle,1995,Strategy,Milienum
Romance of the Three Kingdoms IV: Wall of Fire,1995,Strategy,Milienum
Disruptor,1995,Shooter,Milienum
Namco Soccer Prime Goal,1995,Sports,Milienum
Mystic Ark,1995,Role-Playing,Milienum
World Cup Golf: Professional Edition,1995,Sports,Milienum
